customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_01vNIayewjIIKMF,1075,8,134.69,1,2,2,5,At Risk
R_037XK72IZBJyF69,238,64,906.09,3,4,4,11,Champions
R_038ZU6kfQ5f89fH,496,6,389.89,1,1,3,5,At Risk
R_03aEbghUILs9NxD,194,13,482.85,4,2,3,9,Loyal
R_06RZP9pS7kONINr,240,22,736.84,3,3,4,10,Champions
R_06d9ULxrBmkwSTn,360,5,45.68,2,1,1,4,Lapsed
R_085qq7w0pkhowox,298,21,502.88,2,3,3,8,Loyal
R_08uYA7fb4unHGkF,285,6,400.73,2,1,3,6,At Risk
R_0AjvU74YOfIrIpX,1652,5,73.91,1,1,1,3,Lapsed
R_0Arj0ePpTnReV1v,187,6,318.89000000000004,4,1,3,8,Loyal
R_0BCm9hRP9iTI081,218,58,1782.22,3,4,4,11,Champions
R_0BWkZUjRId7FDZn,1040,14,416.43999999999994,1,3,3,7,Loyal
R_0D6GtQwa6VcnXpv,423,15,273.81,1,3,2,6,At Risk
R_0D6LkYgiPcEN117,269,5,147.46,2,1,2,5,At Risk
R_0DoXqOQl0hxEeFH,245,66,1346.54,3,4,4,11,Champions
R_0HStFOjenTsm8H7,513,2,73.98,1,1,1,3,Lapsed
R_0HuDEBXZ3BxNi0h,791,1,19.99,1,1,1,3,Lapsed
R_0Hzrb8hEmXavTk5,125,56,2042.48,4,4,4,12,Champions
R_0IBgnbXoP4Uvvhv,208,19,213.14000000000001,3,3,2,8,Loyal
R_0IilpPYiU01nCzn,157,13,583.73,4,2,3,9,Loyal
R_0InTWTWokrqzy3n,136,15,158.69,4,3,2,9,Loyal
R_0MwMIcbYO11SOwV,830,26,605.17,1,3,3,7,Loyal
R_0O3AXCWkBaA1YOZ,229,1,34.99,3,1,1,5,At Risk
R_0PMwN9mAFvSiMiR,964,4,50.34,1,1,1,3,Lapsed
R_0Sq4gTizoIawAud,270,4,67.4,2,1,1,4,Lapsed
R_0TXaBMuEhEzmPVD,321,38,207.17000000000002,2,4,2,8,Loyal
R_0TjMwrWLbhR338J,233,3,45.39999999999999,3,1,1,5,At Risk
R_0USvurXxTDWFvX3,230,4,71.28999999999999,3,1,1,5,At Risk
